"sede_localidad","sede_provincia","unidades","acceso","lat","lon","fuente"
"Presidencia Roque Sáenz Peña","Chaco",1,-0.276,-26.7909717754736,-60.4412483249411,"gacetero"
"Profesor Salvador Mazza","Salta",1,-0.087,-22.0516570030053,-63.6918927739648,"gacetero"
"Puerto Deseado","Santa Cruz",1,0.218,-47.7517194088909,-65.9009487268108,"gacetero"
"Puerto Madryn","Chubut",1,-0.068,-42.7672814961937,-65.0366755877063,"gacetero"
"Punta Indio","Buenos Aires",1,0.052,-35.2685627801267,-57.2474704888542,"gacetero"
"Quilmes","Buenos Aires",1,0.038,-34.7200676236621,-58.254346982141,"gacetero"
"Rafaela","Santa Fe",1,-0.23,-31.2526675330419,-61.4916615599108,"gacetero"
"Reconquista","Santa Fe",1,-0.105,-29.1445173299237,-59.6435478986104,"gacetero"
"Río Cuarto","Córdoba",1,-0.044,-33.1238369342208,-64.3490032179798,"gacetero"
"Río Mayo","Chubut",1,-0.221,-45.6861769975897,-70.2566379579333,"gacetero"
"Río Santiago","Buenos Aires",1,0.056,-34.8513758,-57.8868726,"gacetero"
"Río Tercero","Córdoba",1,0.212,-32.1767393738221,-64.1129628407675,"gacetero"
"Río Turbio","Santa Cruz",1,-0.159,-51.5369364,-72.3360417,"gacetero"
"San Antonio","Misiones",1,0.047,-26.0573709006984,-53.7341195284472,"gacetero"
"San Antonio de los Cobres","Salta",1,-0.131,-24.2161442771278,-66.3210644859191,"gacetero"
"San Guillermo","San Juan",1,-0.014,-30.8599399308571,-68.8904378978941,"centroide"
"San Ignacio","Misiones",1,-0.168,-27.2586133303264,-55.5389747941103,"gacetero"
"San José de Jáchal","San Juan",1,-0.405,-30.2417460758843,-68.7464564792971,"gacetero"
"San Justo","Santa Fe",1,-0.385,-30.7891711509703,-60.5933005911998,"gacetero"
"San Nicolás","Buenos Aires",1,-0.07,-33.3384,-60.2215,"georef_localidades"
"San Pedro","Buenos Aires",1,-0.152,-33.6759480318045,-59.6630158141548,"gacetero"
"San Vicente","Buenos Aires",1,-0.125,-35.0259018058616,-58.4224036148088,"gacetero"
