unidad_ejecutora_id,unidad_ejecutora_desc
290,Subsecretaría de la Pequeña y Mediana Empresa y Desarrollo Regional
291,Dirección de Recursos Humanos y Capacitación
292,Dirección de Retiros y Pensiones
294,Dirección de Sanidad Vegetal
295,Dirección de Seguridad y Traslados
296,Unidad Ejecutora del Préstamo BID Nº 899 y 1956 y BIRF 7425
297,Dirección de Tecnología Médica
298,Dirección de Trafico Internacional
299,Unidad Ejecutora del Préstamo BIRF S/N (Desarrollo Forestal)
300,Unidad Ejecutora del Préstamo FIDA 713 - AR y 514 - AR
302,Dirección de la Biblioteca Nacional
303,Dirección Biblioteca Nacional de Maestros
305,Dirección del CENARESO
306,Dirección del FONTAR
307,Dirección del Hospital
308,Dirección del Material
309,Dirección del Personal
310,"Direcciones de Libros, Hemeroteca y Materiales Especiales"
311,Dirección de Administración Bibliotecológica
312,Dirección Nacional de Asuntos Internacionales
313,Dirección Nacional  de Deporte Social
314,Dirección de Fomento Deportivo
316,Dirección Nacional de Promoción
318,Dirección Ejecutiva
319,Instituto Nacional de Educación Tecnológica
320,Directorio CONICET
322,Gabinete de Estrategia Militar
324,División de Asistencia Médica
325,Ente Nacional Regulador de Gas
326,Ente Nacional Regulador del Gas
327,Jefatura IV - Logística
328,Ente Nacional de Obras Hídricas de Saneamiento
329,Dirección de Sanidad Conjunta
330,Ente de Cooperación Técnica y Financiera
331,Escribanía General del Gobierno de la Nación
332,Escuela Nacional de Bibliotecarios
333,Instituto Nacional de la Propiedad Industrial
334,Estado Mayor Conjunto de las Fuerzas Armadas
335,Estado Mayor General de la Armada
336,Estado Mayor General de la Fuerza Aérea
339,Fondo Nacional de las Artes
340,Gabinete Ministerial
342,Gerencia de Control de Entes Reguladores y Empresas Prestadoras de Servicios Públicos
343,Gerencia de Deuda Pública
344,Gerencia de Control de Transferencias de Fondos Nacionales
345,Subsecretaría de Relaciones con el Poder Judicial y Asuntos Penitenciarios
347,Gerencia General de Control Comunal
348,Gerencia General de Control Externo del Sector Financiero
349,Gerencia General de Control de Deuda Pública
350,Gerencia General de Control del Sector Público No Financiero
351,Dirección Nacional de Formación Profesional
353,Gerencia Jurídica
