"uoc_id","f1","f2","f3","masa","saf_id","A_juris","sede_provincia","anclado","A_tipo","A_rango","A_antiguedad","A_presupuesto","N_tamano","N_distribuido","n_sup","acceso","contenido","unidad_dim1","unidad_dim2"
"107|74/27 - Parque Nacional Chaco",-0.522118611708278,-0.120330614450205,0.00552965776415856,0.00104648872254506,107,"Chaco","Chaco","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",101,0.0593381729418853,-0.53078726560023,0.574639864555355,-0.895244869651365
"107|74/28 - Parque Nacional Río Pilcomayo",-0.595544956931633,-0.0730701029684314,-0.096252889212749,0.0011018910666798,107,"Formosa","Formosa","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",103,-0.0830889557960625,-0.590975601744293,0.47115675551597,-1.37605231195506
"107|74/29 - Parque Nacional Laguna Blanca",-0.553963691888607,-0.0855696661369274,-0.000167433740904413,0.000535555993302472,107,"Catamarca","Catamarca","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",58,0.0134234589986858,-0.523443750142832,0.574639864555355,-0.895244869651365
"107|74/30 - Parque Nacional Perito Moreno",-0.414408735723294,-0.127192073290779,0.0842520648133908,0.000357037328868315,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",49,0.161587239122595,-0.610092819949763,0.47115675551597,-1.37605231195506
"107|74/31 - Parque Nacional Lihué Calel",-0.381946265236997,-0.141484698027882,0.0992150023179202,0.000972618930365409,107,"La Pampa","La Pampa","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",89,0.0612279934044081,-0.56409778068595,0.574639864555355,-0.895244869651365
"107|74/32 - PARQUE NACIONAL MONTE LEÓN",-0.502139116970422,-0.0883181719353522,0.00218580802580323,0.000627893233527036,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",59,-0.0774613992308686,-0.536300916096843,0.47115675551597,-1.37605231195506
"107|74/33 - Monumento Natural Bosques Petrificados",-0.460464212876787,-0.0867813286473238,0.00592093545830006,0.000270855904658722,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",36,0.0862634645270293,-0.661638938553593,0.47115675551597,-1.37605231195506
"107|74/34 - Direccion de Lucha Contra Incendios Forestales y Emergencias - Administración de Parques Nacionales",-0.343872152118885,-0.139098792555988,0.119300287221437,0.00221609376538954,107,"CABA","CABA","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",158,0.169653483070683,-0.489557484504563,0.778219454381567,-0.692982149425051
"107|74/35 - Parque Nacional Copo",-0.577871916287997,-0.099497023228167,-0.100309941442816,0.000898749138185758,107,"Chaco","Chaco","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",92,-0.148017903055914,-0.532158906164433,0.47115675551597,-1.37605231195506
"107|74/36 - Reserva Natural Formosa",-0.679750088252809,-0.0845510130263468,-0.101057510077771,0.000449374569092879,107,"Formosa","Formosa","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",52,-0.0698091082948934,-0.550632311925627,0.47115675551597,-1.37605231195506
"107|74/37 - Parque Nacional San Guillermo",-0.4401329010384,-0.0974744274236843,-0.0680970525171259,0.000209297744509012,107,"San Juan","San Juan","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",23,-0.0144219279673962,-0.680868643870728,0.536714755931475,-1.33176383419383
"107|74/38 - Parque Interjurisdiccional Marino Costero Patagonia",-0.501782273362558,-0.0777591186166088,-0.0158318897801024,0.000264700088643751,107,"Chubut","Chubut","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",30,-0.0679901549866874,-0.633823663319104,0.47115675551597,-1.37605231195506
"107|74/40 - RESERVA NATURAL ESTRICTA SAN ANTONIO",-0.551674413401553,-0.165829530546492,0.108828759541022,0.000178518664434157,107,"Misiones","Misiones","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",22,0.0466723858504394,-0.518807150432069,0.640197864970859,-0.850956391890135
"107|74/41 - Reserva Nacional Pizarro",-0.384118425170493,-0.104374541153508,0.0430453033459905,0.000184674480449128,107,"Salta","Salta","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",25,-0.0827849419941092,-0.637947148046771,0.574639864555355,-0.895244869651365
"107|74/42 - Unidad de Compras - Parque Nacional Campos del Tuyú",-0.46291175862806,-0.0910857003838849,0.00663949015195566,0.000221609376538954,107,"Buenos Aires","Buenos Aires","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",29,-0.0446571014755527,-0.588917487604045,0.330516636186624,-1.38492400554117
"107|74/43 - Parque Nacional Patagonia",-0.458208592876859,-0.166454423412989,0.145458556291791,0.000246232640598838,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",32,0.045161705207744,-0.448822820193726,0.536714755931475,-1.33176383419383
"107|74/44 - Parque Nacional el Impenetrable",-0.820737679135775,-0.083401690518671,-0.229340869061375,0.000997242194425293,107,"Chaco","Chaco","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",61,-0.113630646149264,-0.591702408948946,0.47115675551597,-1.37605231195506
"107|74/45 - Parque Nacional Islas de Santa Fe",-0.551908001496426,-0.0400282699819129,-0.119974396689735,0.000486309465182705,107,"Santa Fe","Santa Fe","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",46,-0.166257540948885,-0.721790034503549,0.47115675551597,-1.37605231195506
"107|74/46 - Parque Nacional Iberá",-0.646607966016636,-0.0853533316934658,-0.127630480947669,0.00128040973111396,107,"Corrientes","Corrientes","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",101,0.0607050192658119,-0.64851026493196,0.536714755931475,-1.33176383419383
"107|74/47 - Dirección Regional Patagonia Austral - APN",-0.416510757898573,-0.166216348736317,0.0650989024715362,0.000320102432778489,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",34,-0.041236333488081,-0.547960659583197,0.640197864970859,-0.850956391890135
"107|74/48 - Parque Interjurisdiccional Marino Makenke",-0.191414840899976,-0.170253314238326,0.3351284531226,0.000135427952329361,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",20,0.21808972710142,-0.472525014562242,0.47115675551597,-1.37605231195506
"107|74/49 - Unidad Coordinadora de Proyectos con Financiamiento Externo - UCEFE",0.0363395129976043,-0.308875247437343,0.503257354305634,0.000203141928494041,107,"CABA","CABA","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",28,0.576829082365822,-0.375437799382215,0.883230692555658,-0.939580613303706
"107|74/50 - Parque Nacional traslasierra",-0.479625918399538,-0.0633797322908468,-0.101121104966391,0.000350881512853344,107,"Córdoba","Córdoba","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",43,-0.0796701553667671,-0.680325668364208,0.47115675551597,-1.37605231195506
"107|74/52 - PARQUE FEDERAL CAMPO SAN JUAN",-0.4919253815183,-0.133089775370449,0.0743455396699231,0.000424751305032995,107,"Misiones","Misiones","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",42,-0.0908205439414092,-0.55904846087996,0.574639864555355,-0.895244869651365
"107|74/6 - Parque Nacional Calilegua",-0.44887991958759,-0.137020351480117,0.0899615006003481,0.000443218753077908,107,"Jujuy","Jujuy","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",45,0.0650610847064966,-0.589728062325981,0.640197864970859,-0.850956391890135
"107|74/8 - Parque Nacional Los Glaciares",-0.48097371529824,-0.175756951396905,0.172208621379512,0.000437062937062937,107,"Santa Cruz","Santa Cruz","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",43,0.062595604593211,-0.360680740914412,0.848692212184335,-0.616747413465099
"108|75 - Instituto Nacional del Agua - Departamente Compras",0.350358118629947,-0.122457666392761,0.569337050488782,0.00203141928494041,108,"Buenos Aires","Buenos Aires","programatico","ciencia_universidad","descentralizada","medio","bajo","media","una_sede",191,0.420173041554482,-0.358629895791488,0.967472000281722,0.182057186802083
"109|76/000 - Gerencia de Administración y Capital Humano - SIGEN",0.453012691650254,-0.40494900582259,0.710428090006194,0.00204988673298532,109,"CABA","CABA","programatico","administracion","descentralizada","medio","medio","media","una_sede",175,0.262341764758816,-0.302790708608449,1.00174901131582,-0.691029789359651
"112|16/000 - Dirección General de Administración-ARN",0.459915511244983,-0.00393104498456358,0.501341463826668,0.00451836895498867,112,"CABA","CABA","programatico","ciencia_universidad","descentralizada","reciente","bajo","grande","una_sede",298,0.283794960687644,-0.303256845469416,1.1253735007839,0.544283250524435
"113|17 - Oficina de Compras- TNC",0.13489723213871,-0.189238618577001,0.346897555226621,0.00449990150694376,113,"CABA","CABA","programatico","cultura_educacion","descentralizada","antiguo","bajo","grande","una_sede",306,0.138521701357932,-0.494947063614015,0.468909762719112,0.0532218000714833
"114|18 - Area Compras-INAES",0.47858075741181,-0.442493120623614,0.670551583679433,0.00145892839554811,114,"CABA","CABA","programatico","administracion","descentralizada","medio","medio","media","una_sede",141,0.230378108157387,-0.258789454798765,1.35006437939901,-0.449205057669551
"116|92 - Departamento de Compras y Contrataciones- BN",0.513454756842902,-0.430987202508024,0.617125608047255,0.00317024524771004,116,"CABA","CABA","programatico","cultura_educacion","descentralizada","antiguo","medio","grande","una_sede",208,0.201769302203432,-0.210719775116582,0.560987854625649,-0.233409073710711
"117|20 - Dirección General de Administración - INT",0.402836406988539,-0.313451531800537,0.664462552448282,0.000498621097212647,117,"CABA","CABA","programatico","cultura_educacion","descentralizada","reciente","bajo","chica","una_sede",50,0.212030128606705,-0.298464582680295,1.19404682712766,0.770876475684407
"120|491/0 - Dirección General Técnica y Administrativa - ADN",0.693248829797587,-0.553811372168879,0.344296478259072,0.000209297744509012,120,"CABA","CABA","programatico","administracion","descentralizada","reciente","sin_presupuesto","chica","una_sede",31,0.399480226381807,-0.209497316930149,1.25744315460548,0.350991976559358
