"organismo","n_adj","tipo","anclaje_flag","med_real","share_directa","min_ej","n_loc","med_km","n_geo","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_alcance"
"802 - Fondo Nacional de las Artes",84,"cultura_educacion",FALSE,529332.810568203,0.80952380952381,2018,1,0,82,"chica","mayoria_directa","cultura_educacion","pre2019","bajo","corto"
"804 - Comisión Nacional de Evaluación y Acreditación Universitaria",142,"ciencia_universidad",FALSE,3185994.12038123,0.753521126760563,2017,1,0,139,"chica","mayoria_directa","ciencia_universidad","pre2019","bajo","corto"
"850 - Administración Nacional de la Seguridad Social",983,"salud_social",FALSE,43485737.991977,0.496439471007121,2017,1,11.9457396226282,965,"grande","mixto","salud_social","pre2019","bajo","largo"
"852 - Superintendencia de Riesgos de Trabajo",172,"administracion",FALSE,70286013.8343956,0.540697674418605,2017,1,0,162,"grande","mayoria_directa","administracion","pre2019","bajo","corto"
"852 - Superintendencia de Riesgos del Trabajo",697,"administracion",FALSE,17136424.2446427,0.431850789096126,2020,1,0,691,"grande","mixto","administracion","2019_21","bajo","corto"
"902 - Hospital Nacional en Red Especializado en Salud Mental y Adicciones Licenciada Laura Bonaparte",682,"salud_social",FALSE,2733412.58292255,0.585043988269795,2018,1,0,679,"chica","mayoria_directa","salud_social","pre2019","bajo","corto"
"903 - Hospital Nacional Dr Baldomero Sommer",1906,"salud_social",FALSE,4053094.34638037,0.448058761804827,2018,1,47.0394198488273,1901,"chica","mixto","salud_social","pre2019","bajo","largo"
"904 - Administración Nacional de Medicamentos; Alimentos y Tecnología Médica - ANMAT",1339,"salud_social",FALSE,4621442.05,0.380881254667662,2018,1,0,1335,"media","mixto","salud_social","pre2019","bajo","corto"
"905 - Instituto Nacional Central Único Coordinador de Ablación e Implante",516,"salud_social",FALSE,4396555.79467565,0.468992248062016,2018,1,0,515,"media","mixto","salud_social","pre2019","bajo","corto"
"906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán",3979,"salud_social",FALSE,1954415.19065065,0.562955516461423,2018,1,0,3926,"chica","mayoria_directa","salud_social","pre2019","bajo","corto"
"908 - Hospital Nacional Dr. Alejandro Posadas",294,"salud_social",FALSE,22356817.9237593,0.428571428571429,2017,1,14.5178858479299,293,"grande","mixto","salud_social","pre2019","bajo","largo"
"908 - Hospital Nacional Profesor Alejandro Posadas",1630,"salud_social",FALSE,23471538.1738023,0.284662576687117,2020,1,14.5178858479299,1602,"grande","mixto","salud_social","2019_21","bajo","largo"
"909 - Colonia Nacional Dr. Manuel Montes de Oca",927,"salud_social",FALSE,5301444.90775604,0.415318230852211,2018,1,66.2594743526752,927,"media","mixto","salud_social","pre2019","bajo","largo"
