"uoc_id","saf_id","sede_provincia","tipo","rubro_modal","anclado","n_adj","n_sup","acceso","contenido","uA1","uA2","n_sedes","N_distribuido","N_tamano","N_juris","N_fundacion","N_rango","N_presupuesto","S_escala","S_directa"
"101|98/00 - Dir. Compras",101,"Tucumán","ciencia_universidad","ELECTRICIDAD Y TELEFONIA",FALSE,384,194,0.0913760609081057,-0.463123433130391,0.984732340905852,0.104012428752526,1,"una_sede","grande","Tucumán","antiguo","descentralizada","bajo","chica","mayoria_directa"
"379|38/31 - DIRECCION GENERAL DE INTELIGENCIA DE LA ARMADA",379,"CABA","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,543,216,0.040715817033323,-0.709468569644167,-0.292042400663355,-0.441960436091038,13,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"379|38/33 - Unidad Operativa de Contrataciones - Base Naval Mar del Plata",379,"Buenos Aires","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,872,242,0.0485925552283782,-0.703477042019816,-0.605883031352542,-0.360668290479643,13,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","grande","mixto"
"379|38/35 - Escuela Nacional de Pesca - Armada Argentina",379,"Buenos Aires","seguridad_defensa","FERRETERIA",TRUE,176,74,0.0603526009237557,-0.709712618563567,-0.581807761422286,-0.124308131921233,13,"distribuido","media","Buenos Aires","antiguo","desconcentrada","alto","media","mixto"
"379|38/37 - Hospital Naval Puerto Belgrano",379,"Buenos Aires","seguridad_defensa","PROD. MEDICO/FARMACEUTICOS/LAB",TRUE,627,225,0.171538790848357,-0.573134306452217,-0.605883031352542,-0.360668290479643,13,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","grande","mixto"
"379|38/38 - MINISTERIO DE DEFENSA - ARMADA ARGENTINA - HOSPITAL NAVAL BUENOS AIRES CIRUJANO MAYOR DOCTOR PEDRO MALLO",379,"CABA","seguridad_defensa","PROD. MEDICO/FARMACEUTICOS/LAB",TRUE,691,244,0.328460453079529,-0.496295471196932,-0.292042400663355,-0.441960436091038,13,"distribuido","grande","CABA","antiguo","desconcentrada","alto","grande","mixto"
"379|38/4 - INTENDENCIA NAVAL MAR DEL PLATA",379,"Buenos Aires","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,540,176,0.0335044577276325,-0.694019704607522,-0.605883031352542,-0.360668290479643,13,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","grande","mixto"
"379|38/5 - División de Compras - Arsenal Aereonaval Comandante Espora",379,"Buenos Aires","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,580,199,0.141586608601285,-0.690590906056586,-0.605883031352542,-0.360668290479643,13,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","media","mixto"
"379|38/6 - INTENDENCIA NAVAL USHUAIA",379,"Tierra del Fuego","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,1080,284,0.0973999418356528,-0.669989847479417,-0.471926831376419,-0.304186126192194,13,"distribuido","grande","Tierra del Fuego","antiguo","desconcentrada","alto","media","mixto"
"380|39 - Dirección General de Administración- PNA",380,"CABA","seguridad_defensa","MANT. REPARACION Y LIMPIEZA",TRUE,378,172,0.519765317626052,-0.408182602052256,0.226886430188832,-0.565591617461471,1,"una_sede","grande","CABA","antiguo","desconcentrada","alto","grande","mixto"
"381|40/005 - BASE AEREA MILITAR MORON",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,408,159,0.0127772750638466,-0.750633633927183,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","chica","mixto"
