"uoc_id","saf_id","A_juris","n_sup","acceso","contenido","unidad_dim1","unidad_dim2","unidad_dim3"
"101|98/00 - Dir. Compras",101,"Tucumán",194,0.0913760609081057,-0.463123433130391,0.330888173308391,-0.10475244239361,0.717434646660477
"371|84/102 - DISTRITO ELECTORAL - MENDOZA",371,"Mendoza",43,0.081557963977444,-0.61061042865851,-0.217081033710759,-0.407483779360293,-0.501121387553297
"371|84/103 - DISTRITO ELECTORAL - MISIONES",371,"Misiones",35,0.0617342982852955,-0.711840787328976,-0.25500614233464,-0.844002743902753,-0.379211035707201
"371|84/104 - DISTRITO ELECTORAL - NEUQUEN",371,"Neuquén",28,0.118069573579766,-0.623781563381591,-0.0465117951211646,-0.609793765477717,-0.591580270514496
"371|84/105 - DISTRITO ELECTORAL - SALTA",371,"Salta",55,-0.0277134605861802,-0.591358345747513,-0.0465117951211646,-0.609793765477717,-0.591580270514496
"371|84/109 - COMANDO GENERAL ELECTORAL",371,"CABA",61,0.347090071910838,-0.495772558583617,0.194992903328928,0.0289879192910578,-0.577861403329168
"371|84/111 - DISTRITO ELECTORAL - RIO NEGRO",371,"Río Negro",27,0.105512540583699,-0.480419062400463,0.0569713139182204,-0.128986323174026,-0.524875939180168
"371|84/112 - DISTRITO ELECTORAL - SAN LUIS",371,"San Luis",42,0.0593234855306022,-0.659248592279143,-0.356902054580475,-0.415099532625356,-0.0956856400757552
"371|84/113 - DISTRITO ELECTORAL - SANTIAGO DEL ESTERO",371,"Santiago del Estero",45,-0.0753147448815619,-0.641305865391206,-0.356902054580475,-0.415099532625356,-0.0956856400757552
"371|84/114 - DISTRITO ELECTORAL - TIERRA DEL FUEGO",371,"Tierra del Fuego",26,-0.0243673328269016,-0.555243829109063,-0.320564142750144,-0.888291221663983,-0.567825718887626
"371|84/115 - DISTRITO ELECTORAL - SANTA CRUZ",371,"Santa Cruz",35,-0.00183562270964158,-0.600067301127645,-0.320564142750144,-0.888291221663983,-0.567825718887626
"371|84/116 - DISTRITO ELECTORAL - SANTA FE",371,"Santa Fe",43,0.218150260009849,-0.422999466434425,-0.25500614233464,-0.844002743902753,-0.379211035707201
"371|84/118 - DISTRITO ELECTORAL - CABA",371,"CABA",35,0.155502299255393,-0.650281550505492,-0.0135014438845471,-0.205221059133978,-0.365492168521873
"371|84/119 - DISTRITO ELECTORAL - CATAMARCA",371,"Catamarca",33,0.0213429953223238,-0.601456200533007,-0.320564142750144,-0.888291221663983,-0.567825718887626
"371|84/120 - DISTRITO ELECTORAL - CHACO",371,"Chaco",44,0.027151264566741,-0.709790438919268,-0.217081033710759,-0.407483779360293,-0.501121387553297
"371|84/121 - DISTRITO ELECTORAL - CHUBUT",371,"Chubut",28,0.192833002371021,-0.72353072885182,-0.151523033295255,-0.363195301599062,-0.312506704372872
